Resource name,,Ref,Link,LLOD Cloud Link,Category,SPARQL endpoint,SE status,DUMP,DUMP status,License,Amount of Data,Language,Degree of Connection,Clustering Coefficient,Centrality,Verifiability
MMPedia,2023,\cite{wu2023mmpedia},https://github.com/Delicate2000/MMpedia,,Linguistic Data Categories,-,-,https://drive.google.com/drive/folders/13GFHEfKMw9rAR0IvLB46L39UF5fYN9FY ttl and json,OK,CC-BY-NC 4.0,,,,,,
New Botanical Latvian,2019,\cite{svicke2019practice},,,Lexicons and Dictionaries,,,,,,,,,,,
O-Dang! - Ontology of Dangerous Speech Messages,2022,\cite{stranisci2022dang},https://github.com/marcostranisci/o-dang,,"Terminology, Thesauri, Knowledge Base",https://kgccc.di.unito.it/sparql/o-dang,OK,https://github.com/marcostranisci/o-dang/blob/main/o-dang.owl as owl,,-,100,Italian,,,,
Old German Reference Corpus,2014,\cite{ChiarcosSukharevaMittmannetal2014},http://www.laudatio.org,,Corpora,,,,,CC-BY-SA,,German,,,,
OLiA,2015,\cite{chiarcos2015olia},https://acoli-repo.github.io/olia,https://lod-cloud.net/dataset/olia,Corpora,-,-,"https://sourceforge.net/projects/olia/files/latest/download, http://purl.org/olia/penn.owl#JJ, http://purl.org/olia, http://purl.org/olia/olia.owl",OK,CC-BY,44K,Multilingual,74,0.001,0.029,0
OnSyDE,2023,\cite{aranovich2023modeling},https://github.com/RaulAranovich/OnSyDE/tree/main,,Linguistic Data Categories,-,-,https://github.com/RaulAranovich/OnSyDE/tree/main as owl,OK,-,,,,,,
OntoLex,2015,"\cite{declerck2015towards,Bettina2019}",https://www.w3.org/2016/05/ontolex/,,Linguistic Data Categories,-,-,https://github.com/ontolex/ontolex/tree/master/Ontologies,OK,,,-,,,,
Onyx,2016,\cite{sanchez2016onyx},https://www.gsi.upm.es/ontologies/onyx/,,"Terminology, Thesauri, Knowledge Base",-,-,https://www.gsi.upm.es/ontologies/wnaffect/ns as xml,OK,-,,,,,,
Open Bantu isiXhosa Lexicon,2018,"\cite{bosch2018preparation,eckart2019translation}",https://github.com/MMoOn-Project/OpenBantu/blob/master/xho/inventory/ob_xho.ttl,https://lod-cloud.net/dataset/open-bantu-isixhosa-lexicon,Lexicons and Dictionaries,http://rdf.corpora.uni-leipzig.de/sparql,OK,https://github.com/MMoOn-Project/OpenBantu/tree/master as ttl,OK,CC-BY-SA,259K,Bantu,1,0,0.000,1.07
Open-de-WordNet - OdeNet,2019,\cite{declerck2019porting},https://github.com/hdaSprachtechnologie/odenet,,Lexicons and Dictionaries,-,-,xml,OK,CC-BY-SA 4.0,,German,,,,
PanLex,2015,\cite{westphal2015countering},http://panlex.org,https://lod-cloud.net/dataset/panlex,Lexicons and Dictionary,http://ld.panlex.org/sparql,OFFLINE,http://ld.panlex.org/downloads/releases/2013-02-14/2013-02-14-panlex-dump.nt,OFFLINE,-,800Mln,,,,,
PAROLE/SIMPLE,2015,\cite{villegas2015parole},https://www.cnr.it/en/institutes-databases/database/445/parole-simple-clips-lexicon,https://lod-cloud.net/dataset/simple,Lexicons and Dictionaries,-,-,http://www.languagelibrary.eu/owl/simple/inds/individualspointingtosinglefile,OK,CC-BY,370K triples,Italian,1,0,0.000,0
PreMOn,2016,"\cite{corcoglioniti2016premon,rospocher2019premon}",http://premon.fbk.eu,https://lod-cloud.net/dataset/premon,Other,https://premon.fbk.eu/sparql,OK,https://premon.fbk.eu/download.html,OK,CC-BY-SA,65Mln,Multilingual,4,0.167,0.002,1.07
Qichwabase,2022,\cite{huaman2022getting},https://qichwa.wikibase.cloud/wiki/Qichwabase,,Lexicons and Dictionaries,https://qichwa.wikibase.cloud/query/,OK,-,-,CC0-1.0 license,1Mln,"Quechua and Quechua words into other languages, e.g. English, German, Italian, and Spanish",,,,
RELATE,2022,\cite{schoene2022relate},,,Other,,,,,,"42,646",,,,,
SALDO-RDF,2014,\cite{borin2014representing},,https://lod-cloud.net/dataset/saldo-rdf,Linguistic Data Categories,https://demo.spraakbanken.gu.se/ltlod/test/,-,https://ckannet-storage.commondatastorage.googleapis.com/2014-10-17T09:29:36.634Z/saldo-nt.gz,FAIL,CC-BY,0,Swedish,1,0,0.000,0
Sar-graph,2016,\cite{krause2016sar},http://sargraph.dfki.de,,Other,,,,,,"3,568 nodes, 9,045 edges",,,,,
SrpELTeC,2022,\cite{stankovic2022distant},,\sim Part of wikidata,Other,,,,,,,Serbian,95,0.02,0.037,0.33
Swedish FrameNet - SweFN-RDF,2014,\cite{borin2014representing},https://spraakbanken.gu.se/en/resources/swefn,https://lod-cloud.net/dataset/swefn-rdf,Linguistic Data Categories,https://demo.spraakbanken.gu.se/ltlod/test/,-,https://svn.spraakbanken.gu.se/sb-arkiv/pub/lmf/swefn/swefn.xml,OK,CC-BY,340K,Swedish,1,0,0.000,0
Talmud,2022,\cite{giovannetti2022ontology},https://www.talmud.it,,Linguistic Data Categories,-,-,-,-,,,Italian,,,,
TatarWordNet,2021,"\cite{kirillovich2021tatwordnet,kirillovich2020tatar}",http://lod.wordnet.tatar/,,Lexicons and Dictionaries,,,,,,5.5K,Tatar,,,,
TatVerbBank,2020,\cite{Gatiatullin2020},,,Linguistic Data Category,,,,,,,Tatar,,,,
Terminesp,2015,\cite{montiel2015towards},https://linguistic.linkeddata.es/terminesp/,,"Terminology, Thesauri, Knowledge Base",https://linguistic.linkeddata.es/terminesp/sparql-editor/,OFFLINE,https://figshare.com/articles/dataset/Terminesp_RDF/1344810?file=2043775 as ttl,OK,GPL 3.0,11Mln,Spanish and Multilingual,,,,
ThaiWordNet,2022,\cite{leenoi2022construction},http://compling.hss.ntu.edu.sg/omw,https://lod-cloud.net/dataset/omwn-tha,Lexicons and Dictionaries,http://omwn.linguistic-lod.org/sparql/,OFFLINE,http://compling.hss.ntu.edu.sg/omw/wns/tha+xml.zip,OFFLINE,WordNet,704K,Thai,1,0,0.000,0
Thesaurus of Old English,2019,\cite{stolk2019thesaurus},https://oldenglishthesaurus.arts.gla.ac.uk,,"Terminology, Thesauri, Knowledge Base",-,-,not freely available,,non commercial,40K entries,Old English,,,,
VisualSem,2020,\cite{alberts2020visualsem},https://github.com/iacercalixto/visualsem,,"Terminology, Thesauri, Knowledge Base",-,-,"json, tgz in the GitHub",OFFLINE,BabelNet's non-commercial license,"90k nodes, 1.5M tuples, and 1.3M glosses and 930k images associated to nodes",Multilingual,,,,
Zhishi.Lemon,2016,\cite{fang2016zhishi},,https://lod-cloud.net/dataset/zhishi-lemon,"Terminology, Thesauri, Knowledge Base",-,-,https://drive.google.com/file/d/0B8VUbXki5Q0ibEIzbkUxSnQ5Ulk/view?usp=sharing,OFFLINE,CC-BY,7Mln,Chinese and Multilingual,4,0,0.002,0
